customer_id,product_id,date_id,quantity,total_amount
27,6,92,4,12000
97,2,261,5,6000
28,1,120,4,16000
94,2,328,3,3600
24,3,16,3,600
75,3,244,2,400
22,5,229,1,350
26,6,238,2,6000
55,6,351,4,12000
16,5,76,1,350
81,6,300,5,15000
86,3,233,3,600
19,4,114,1,150
5,3,222,5,1000
69,3,280,5,1000
31,2,241,5,6000
73,4,271,2,300
59,2,344,2,2400
36,1,236,5,20000
5,6,2,2,6000
92,5,343,5,1750
11,5,5,2,700
52,5,170,2,700
92,2,145,5,6000
100,2,118,4,4800
59,3,195,3,600
51,4,358,3,450
27,5,159,5,1750
32,2,54,4,4800
46,6,238,5,15000
68,2,133,1,1200
34,1,285,2,8000
30,4,170,4,600
18,4,108,1,150
87,2,234,3,3600
76,6,175,1,3000
46,3,22,1,200
90,1,159,3,12000
8,2,39,1,1200
82,1,148,5,20000
49,2,263,5,6000
5,1,337,4,16000
88,1,72,3,12000
75,1,91,2,8000
32,1,188,2,8000
1,5,135,2,700
80,4,264,2,300
66,1,153,3,12000
88,2,130,2,2400
15,3,25,2,400
21,2,331,3,3600
91,6,294,1,3000
16,4,358,3,450
77,2,353,2,2400
23,2,256,3,3600
7,3,16,2,400
22,6,161,4,12000
70,3,222,5,1000
8,5,96,2,700
79,1,134,3,12000
7,3,208,4,800
13,6,225,4,12000
7,2,86,1,1200
18,1,3,1,4000
18,5,96,4,1400
48,3,339,2,400
12,3,52,1,200
82,5,132,1,350
51,5,22,2,700
76,3,232,5,1000
99,3,227,1,200
91,6,48,3,9000
78,4,20,5,750
59,6,37,1,3000
67,1,323,5,20000
20,3,180,1,200
22,6,67,2,6000
78,4,205,3,450
74,1,181,5,20000
80,2,73,1,1200
79,3,74,3,600
92,1,232,1,4000
23,6,273,1,3000
68,4,190,4,600
98,3,255,2,400
74,1,293,1,4000
38,3,2,1,200
4,5,59,3,1050
95,6,161,2,6000
77,4,11,5,750
3,1,152,5,20000
34,2,361,3,3600
66,4,263,1,150
74,4,262,5,750
26,6,63,5,15000
11,4,362,2,300
36,3,281,3,600
45,3,322,3,600
30,3,1,2,400
84,6,354,3,9000
51,5,315,3,1050
26,1,101,3,12000
93,1,13,2,8000
52,6,170,3,9000
83,6,362,4,12000
40,4,14,3,450
54,1,271,1,4000
54,4,265,2,300
16,6,321,4,12000
9,1,192,1,4000
49,2,252,4,4800
73,3,338,5,1000
95,2,228,2,2400
82,1,52,1,4000
2,1,34,2,8000
10,6,265,4,12000
99,1,330,2,8000
53,5,226,3,1050
89,4,120,3,450
11,6,110,1,3000
97,2,18,1,1200
22,1,270,5,20000
8,1,247,2,8000
5,3,72,3,600
28,4,35,1,150
98,5,254,1,350
37,6,93,1,3000
73,6,87,2,6000
55,6,153,2,6000
55,3,199,5,1000
82,5,322,2,700
45,2,77,5,6000
5,3,118,2,400
26,3,120,3,600
88,5,124,1,350
32,2,60,3,3600
19,4,295,1,150
78,5,57,4,1400
92,3,267,4,800
85,4,118,2,300
38,3,6,2,400
12,3,165,5,1000
22,2,120,2,2400
11,3,313,3,600
79,5,146,3,1050
58,2,31,1,1200
59,3,56,2,400
54,5,199,4,1400
37,4,313,3,450
55,5,319,2,700
59,1,254,3,12000
78,5,11,1,350
92,2,157,1,1200
11,6,321,2,6000
81,2,306,5,6000
75,5,80,1,350
50,4,41,4,600
91,4,20,2,300
31,6,162,3,9000
19,6,70,5,15000
29,4,260,1,150
27,2,31,2,2400
50,2,328,2,2400
55,2,355,5,6000
79,1,251,1,4000
2,5,253,4,1400
21,2,44,4,4800
37,2,57,5,6000
5,2,8,2,2400
97,3,183,1,200
75,1,36,4,16000
100,5,118,1,350
96,5,224,3,1050
69,5,110,1,350
24,5,23,5,1750
80,1,337,5,20000
71,5,202,2,700
36,3,193,3,600
80,2,197,2,2400
77,4,187,5,750
99,1,287,1,4000
76,3,213,2,400
94,3,170,5,1000
48,3,301,1,200
92,3,108,5,1000
13,4,250,5,750
99,1,6,1,4000
60,4,344,5,750
37,2,17,5,6000
